category,period,agg_income_15plus_mean,agg_income_15plus_sd,agg_income_15plus_race_tot_mean,agg_income_15plus_race_tot_sd,agg_household_income_mean,agg_household_income_sd,agg_household_income_race_tot_mean,agg_household_income_race_tot_sd,agg_household_income_white_mean,agg_household_income_white_sd,agg_family_income_mean,agg_family_income_sd,agg_income_15plus_white_mean,agg_income_15plus_white_sd,agg_household_income_white_nh_mean,agg_household_income_white_nh_sd,agg_income_15plus_white_nh_mean,agg_income_15plus_white_nh_sd,agg_nonfamily_income_mean,agg_nonfamily_income_sd,agg_household_income_hisp_mean,agg_household_income_hisp_sd,agg_income_15plus_hisp_mean,agg_income_15plus_hisp_sd,agg_income_15plus_two_races_mean,agg_income_15plus_two_races_sd,agg_gross_rent_mean,agg_gross_rent_sd,mean_hh_income_top5pct_mean,mean_hh_income_top5pct_sd,median_owner_home_value_mean,median_owner_home_value_sd,mean_hh_income_q5_mean,mean_hh_income_q5_sd,avg_household_income_hisp_mean,avg_household_income_hisp_sd,avg_household_income_two_mean,avg_household_income_two_sd,inc_q4_limit_mean,inc_q4_limit_sd,inc_top5pct_lower_limit_mean,inc_top5pct_lower_limit_sd,avg_family_income_mean,avg_family_income_sd,mean_hh_income_q4_alt_mean,mean_hh_income_q4_alt_sd,avg_household_income_white_mean,avg_household_income_white_sd,avg_household_income_white_nh_mean,avg_household_income_white_nh_sd,avg_household_income_mean,avg_household_income_sd,avg_household_income_race_tot_mean,avg_household_income_race_tot_sd,inc_q3_limit_mean,inc_q3_limit_sd,median_family_income_mean,median_family_income_sd,median_hh_inc_owner_mean,median_hh_inc_owner_sd,median_hh_income_white_nh_mean,median_hh_income_white_nh_sd,median_hh_income_white_mean,median_hh_income_white_sd,median_hh_income_mean,median_hh_income_sd,median_hh_inc_all_units_mean,median_hh_inc_all_units_sd,mean_hh_income_q3_mean,mean_hh_income_q3_sd,median_inc_15plus_male_ftyr_mean,median_inc_15plus_male_ftyr_sd,inc_q2_limit_mean,inc_q2_limit_sd,median_earnings_male_mean,median_earnings_male_sd,median_hh_inc_renter_mean,median_hh_inc_renter_sd,median_hh_inc_past12_renters_mean,median_hh_inc_past12_renters_sd,avg_nonfamily_income_mean,avg_nonfamily_income_sd,mean_hh_income_q2_mean,mean_hh_income_q2_sd,median_earnings_bachelor_mean,median_earnings_bachelor_sd,median_inc_15plus_male_mean,median_inc_15plus_male_sd,median_nonfamily_income_mean,median_nonfamily_income_sd,median_earnings_male_somecoll_mean,median_earnings_male_somecoll_sd,median_earnings_male_hs_mean,median_earnings_male_hs_sd,median_household_income_mean,median_household_income_sd
Large/Metro,Post (2020–23),3114111650,1401678820.778962,3114111650,1401678820.778962,3074262333.3333335,1395843289.6697147,3074262333.3333335,1395843289.6697147,2694209383.3333335,1270871107.3707106,2542785483.3333335,1214657155.925429,2694475616.6666665,1262839182.697049,2615302533.3333335,1268755541.4908602,2613240575,1264466956.3975258,488182475,179973316.57203633,190048858.33333334,61248237.976858765,237456766.66666666,66262425.87326318,156042633.33333334,80262222.96624,10521766.666666666,4871037.886852402,6658490.416666667,3284918.560688542,6770466.666666667,3092750.9400159754,4045569.5833333335,1880424.4383106926,1308597.2697611423,516976.14354831586,1475488.463466654,728990.268222417,2375080.0833333335,944307.741186821,2965193.25,1096816.457748774,1971223.6768598848,881515.5644312719,2010908.3333333333,824629.4587901927,1754379.4065107936,781787.7130835414,1762254.860483481,780466.1593443935,1735898.0142822424,761840.764521477,1735898.0142822424,761840.764521477,1652225.5,681948.76377195,1593496.5,662382.079813525,1603347,622375.1349936497,1414946.5833333333,600705.6341660286,1400833.9166666667,598285.767659487,1396282.3333333333,588791.3988093566,1396282.3333333333,588791.3988093566,1391504,583856.0347984299,1185675.5,525818.4974723606,1138546.3333333333,487333.1993051261,1028373.5,447475.39613835956,771820.5833333334,445872.78182468517,771820.5833333334,445872.78182468517,989485.9117776972,380543.37934483227,883021.4166666666,386026.33320338005,942127.75,351170.55346916674,867731.5,396060.37464519334,715214.6666666666,326482.1477846233,693893.3333333334,173315.64997286064,483520.3333333333,200261.37428749248,105760.50049791788,19844.333891509246
Large/Metro,Pre (2017–19),2587086044.4444447,1184543621.019395,2587086044.4444447,1184543621.019395,2537044300,1178377604.1357741,2537044300,1178377604.1357741,2314694622.2222223,1115429961.0614913,2074531544.4444444,992627722.3587793,2341665900,1113615571.4247296,2202396577.7777777,1109638044.5938754,2222990677.7777777,1107457037.481495,427359344.4444444,193969292.533426,149209722.2222222,35585932.67320592,176174244.44444445,38861556.17853945,54484866.666666664,18355960.364075206,9102644.444444444,3822091.2440413795,4686838.888888889,2141669.283305224,4611666.666666667,2107770.6842775852,2859045,1311247.6648439646,1062776.6202322724,408982.4363756214,805829.3623831057,499583.3479782647,1750990.888888889,789967.4267543321,2503373.4444444445,1072993.5383499651,1400780.7855839517,647769.0013756627,1440024.3333333333,645958.1850425769,1250695.7713264485,560002.598237869,1252654.7077694954,566424.3326300987,1245208.5437010163,562484.7051548114,1245208.5437010163,562484.7051548114,1199891.5555555555,540046.840578924,1163767.7777777778,527840.3385799483,1205630.4444444445,522516.20431215124,1011462.3333333334,462218.4319069286,1006391,448290.2971894997,1010335,449809.1133453167,1010335,449809.1133453167,1012284.8888888889,455596.24314941524,880213.7777777778,419099.3564943097,819784.2222222222,371994.70287551737,747243.6666666666,352973.92105331237,625977.3333333334,307390.91376454185,625977.3333333334,307390.91376454185,770210.8959050837,360710.4215908993,643630.8888888889,288045.8617323136,714177.8888888889,320157.82914113015,636221.6666666666,302980.9146914208,576315,247463.63055154186,650664.3333333334,243718.62134026608,520127,215479.84434802714,83722.63523027039,14920.287335331579
Medium,Post (2020–23),903783572.5,448776461.02048886,903783572.5,448776461.02048886,889337292.5,439584450.911564,889337292.5,439584450.911564,799987805,398960984.827277,672772225,353040052.6947541,809417752.5,400619128.4727255,768194935,388995851.27985454,776722380,392103447.38713723,196090742.5,98923092.79148506,67946365,45717118.70376487,74535937.5,47475773.81824192,50318195,32366489.99844532,3716347.5,2071302.1577528322,1911283.8,1208589.2939824874,2244885,1273151.152335145,1176142.025,668565.686128741,415899.04468065995,244204.87870366997,437938.70450182137,258520.87082744497,804706.05,376122.4422524482,1251672.5,567080.5600495423,650384.7392182527,333820.0723100396,598071.6,281823.560139373,557142.6336185983,269130.68754054845,560527.5322095103,273617.4662724369,555810.1670466819,267718.75135787687,555810.1670466819,267718.75135787687,529967.625,240190.3692306656,526634.75,252102.37295323866,514793.7,251187.02458263427,436458.975,204549.89632580307,436152.15,199718.43759865715,433594.8,196825.83224173417,433594.8,196825.83224173417,395027.7,183083.97393758822,398869.525,192283.88438892027,347998.7,157749.53722914768,317122.525,154334.15689357504,257334.725,134101.1366538163,257334.725,134101.1366538163,361817.2912628115,170495.9779085538,244761.4,112245.70787586422,316309.675,160667.06520299343,257164.875,120929.02096200948,248328.275,117420.39618658567,276929.325,144022.49541337907,216361.85,99248.69136424611,67585.18102612422,17252.56679331014
Medium,Pre (2017–19),735008506.6666666,349142499.6105863,735008506.6666666,349142499.6105863,719271920,338932291.2692052,719271920,338932291.2692052,675192870,316380093.2336164,536621850,250076732.31318113,687644310,325910543.0259547,640021286.6666666,307045388.88301724,652184066.6666666,315324152.8619161,167237853.33333334,93258587.94008061,43525806.666666664,27674064.284015387,46828343.333333336,29044426.4541312,16562350,9479430.045675851,3375556.6666666665,1930657.4730910447,1506538.9666666666,814229.7641965384,1456836.6666666667,930501.6616870164,909323.1,456299.5709326653,278677.6166711359,128724.38512449208,208552.1084266418,94155.61822921869,563216.8,256939.29447505285,946890,460439.695567033,452127.91284595575,222220.4320125793,453466.5333333333,204574.23215727884,388972.20904681884,179099.72969183113,391142.3589386473,181362.44199504206,387354.350115135,179669.7898037058,387354.350115135,179669.7898037058,369638.8,163613.70365071332,363242.6,170401.28159033187,367649.9,170058.0235226728,303463.5,138100.02843934638,302449.76666666666,136637.6795467092,300304.9,136547.84321415675,300304.9,136547.84321415675,297946,134220.1662372634,290320.6,131112.69269459607,236844.1,105842.54643812617,219321.83333333334,91702.3844359956,179107.56666666668,77084.9129478983,179107.56666666668,77084.9129478983,253105.4454948775,120636.95161640766,181744.3,80893.74832549346,225702.2,102644.27526082832,186379.1,85616.5886139258,177366.06666666668,85043.70475999823,202165.66666666666,87906.45406705744,166046.9,83386.33012230192,53412.89946229985,12306.163369216933
None,Post (2020–23),600501262.5,372153192.13952893,600501262.5,372153192.13952893,587380993.75,360402268.3342924,587380993.75,360402268.3342924,532393543.75,316637902.2345703,433768637.5,256926475.60174325,539906118.75,326193246.1673994,518442293.75,307744897.7715568,528722775,319234762.5966289,137013618.75,96136010.44147968,21386843.75,20125462.918567237,24823256.25,21882540.42527874,23286518.75,23672226.213693798,2349037.5,1423094.183753603,1473573.5625,1180614.4087596068,1443762.5,984405.687288867,876085.6875,700042.2423995777,213075.3111502991,193034.67996605663,284049.85693271033,287245.4338797149,591945.8125,430338.3697267719,972152.5,701036.2698401085,498989.08865774015,345802.43477266224,445060,366638.1273744817,417557.78593575634,290836.82855732733,418687.68377569434,292708.622822331,420500.1881710798,293278.3157471088,420500.1881710798,293278.3157471088,395377.625,285392.36439233966,392168.4375,300818.18882861646,381174.9375,283223.2212213466,324132.125,220679.88246050733,325066.75,218787.07553951474,326328.125,219915.93515004014,326328.125,219915.93515004014,296539.5,229763.22002328106,312769.8125,196627.74297276186,263298.5625,179225.92558219872,248402.9375,177555.61625529008,190550.4375,120063.96790209723,190550.4375,120063.96790209723,266710.09798905364,180196.9521698032,186734,140955.517308121,257422.625,225006.71119379974,211067.625,143955.53618571488,184084.0625,116247.7386759093,209582.875,138461.7780279092,184567.75,127115.15355692255,64184.45099479977,12430.314878318526
None,Pre (2017–19),518846875,353309742.3407659,518846875,353309742.3407659,501158925,332802132.8004788,501158925,332802132.8004788,474220750,305818609.61912614,375252766.6666667,248897201.62387717,486805525,322681688.9874155,458490325,301176947.3458452,470897866.6666667,315541616.02243197,115750091.66666667,78096496.64007701,20590858.333333332,9495811.170813289,22227700,11415464.868804472,12791508.333333332,11231101.755754244,2281266.6666666665,1728439.346154019,1111950.4166666667,1002314.3848189511,705866.6666666666,602991.7372166183,623148.0833333334,523513.81858734303,243795.13924109918,107365.71275625705,114472.4253021808,147414.9456685263,361265.9166666667,282372.98216252215,623793.5,517858.89484799025,306574.6733613033,256804.42050324444,290373.5,228274.344755882,257935.1646633014,212003.26011437416,257513.0909423685,214529.26611058137,255027.95489855332,207415.27768779523,255027.95489855332,207415.27768779523,232883.4166666667,185023.87712423314,239288.4166666667,195524.79207296,228068.9166666667,182663.33983959685,193238.25,157610.8236535486,194519.41666666666,155863.193853665,191556.41666666666,152008.27450411933,191556.41666666666,152008.27450411933,192750.66666666666,153830.77936151042,194182.83333333334,153952.56961145432,155244.08333333334,124732.23482211685,156481.16666666666,112984.57696504288,131646.16666666666,112448.38932177112,131646.16666666666,112448.38932177112,157413.80353583183,121124.69287714349,119706.25,95673.57719789153,173122.41666666666,120942.87095037763,130606.16666666666,97325.98305491736,115418.83333333334,95410.41200455424,155755.08333333334,120052.29006369633,134977.41666666666,97644.28579329839,50551.29732964028,9726.765548788519
