YEAR,city,agg_income_15plus,agg_income_15plus_race_tot,agg_household_income,agg_household_income_race_tot,agg_household_income_white,agg_family_income,agg_income_15plus_white,agg_household_income_white_nh,agg_income_15plus_white_nh,agg_nonfamily_income,agg_household_income_hisp,agg_income_15plus_hisp,agg_income_15plus_two_races,agg_gross_rent,mean_hh_income_top5pct,median_owner_home_value,mean_hh_income_q5,avg_household_income_hisp,avg_household_income_two,inc_q4_limit,inc_top5pct_lower_limit,avg_family_income,mean_hh_income_q4_alt,avg_household_income_white,avg_household_income_white_nh,avg_household_income,avg_household_income_race_tot,inc_q3_limit,median_family_income,median_hh_inc_owner,median_hh_income_white_nh,median_hh_income_white,median_hh_income,median_hh_inc_all_units,mean_hh_income_q3,median_inc_15plus_male_ftyr,inc_q2_limit,median_earnings_male,median_hh_inc_renter,median_hh_inc_past12_renters,avg_nonfamily_income,mean_hh_income_q2,median_earnings_bachelor,median_inc_15plus_male,median_nonfamily_income,median_earnings_male_somecoll,median_earnings_male_hs,median_household_income,Population_2019,HB2001_Category,treat,post,pre,total_housing_units,occupied_housing_units,vacant_housing_units,homeowner_vacancy_rate,rental_vacancy_rate,units_1_detached,units_1_attached,units_2,units_3_4,units_5_9,units_10_19,units_20_more,rooms_1,rooms_2,rooms_3,rooms_4,rooms_5,rooms_6,rooms_7,rooms_8,rooms_9_more,median_rooms,bedrooms_0,bedrooms_1,bedrooms_2,bedrooms_3,bedrooms_4,bedrooms_5_more,owner_occupied_units,renter_occupied_units,avg_hh_size_owner,avg_hh_size_renter,veh_no,veh_1,veh_2,veh_3_more,occ_per_room_1_or_less,occ_per_room_1_01_to_1_50,occ_per_room_1_51_more,value_less_50000,value_50000_99999,value_100000_149999,value_150000_199999,value_200000_299999,value_300000_499999,value_500000_999999,value_1000000_more,median_value_dollars,housing_with_mortgage,housing_without_mortgage,median_gross_rent_dollars
2017,Prineville,526399000,526399000,528648000,528648000,508545600,405177300,504168600,487443600,488173000,108019300,28558700,23815100,7684000,2313900,807847,752500,522229,167031.4570361146,85308.2872549195,334696,580942,263363.9638650897,275075,230079.3459653394,229051.0644879884,225325.57835072,225325.57835072,218233,228566,211028,168251,173592,170657,170657,171132,181934,133655,128019,122592,122592,135481.55473607482,110624,105605,110662,101957,163126,110173,42560.62890822858,10734,Medium,1,0,1,4417,4165,252,0,0.7,2911,70,205,232,284,44,384,231,192,380,1007,1154,610,458,210,175,4.8,248,447,1336,1900,443,43,2023,2142,2.2,2.3099999999999996,422,1446,1443,854,3901,174,90,166,414,425,534,365,107,0,12,150500,1212,811,761
2017,Roseburg,961811600,961811600,952638600,952638600,912047900,692601300,920197800,885072100,898595600,248275200,30715200,25321500,13700200,5062500,1584432,1218200,921555,298731.8262755762,184646.7374727668,558998,917237,468989.0542230455,446587,384415.9593084969,385678.1390081888,379224.79991330265,379224.79991330265,355557,373273,378692,295825,295070,288801,288801,284237,308046,213600,220472,187575,187575,239207.7757397766,167847,286027,177166,163891,179832,153595,47867.891738783874,23479,Medium,1,0,1,10726,9907,819,2.8,4.6,6735,414,438,486,268,489,1072,423,391,880,2349,2185,2018,1060,846,574,5.1,449,1052,3689,4407,1021,108,5345,4562,2.22,2.02,1069,3772,3244,1822,9763,117,27,541,497,827,1230,1636,517,97,0,179900,3203,2142,800
2017,Sandy,727046400,727046400,717002100,717002100,686928700,577388800,693716900,653947200,665084500,128509600,35109900,32277400,15622800,2122900,1396423,1438100,891686,219981.3706942589,157466.550925926,593892,935445,455910.7766287185,488403,400326.0956360697,402998.03715994855,402004.00993096107,402004.00993096107,414941,404014,388250,355052,346231,337207,337207,340984,288168,272872,253479,171135,171135,252485.0727335388,205402,267631,204206,154571,282326,212468,66961.80951783023,11387,Medium,1,0,1,4075,3919,156,2.4,0,2965,350,60,39,116,158,171,78,66,133,742,958,1002,555,243,298,5.6,92,132,680,2520,565,86,2767,1152,2.7800000000000002,2.5,229,1247,1408,1035,3755,137,27,226,15,65,453,1555,380,67,6,243000,1955,812,1179
2017,Silverton,523189400,523189400,508694400,508694400,494783500,439817100,502972100,484451400,488119700,63976800,12918500,20835500,9596300,1404800,1002876,828900,590571,163018.0539537682,302643.995859213,360257,628143,298761.98962112266,297816,256029.89823452945,258546.4864246825,256694.6954720792,256694.6954720792,252577,235725,235602,206135,206297,205677,205677,209224,164864,169711,148966,77817,77817,124404.3749164546,127708,134630,122448,97777,142174,128875,68972.0099045346,10618,Medium,1,0,1,3706,3520,186,0,0,2818,189,134,179,88,125,29,30,46,150,408,931,794,423,479,445,5.9,30,229,991,1568,763,125,2418,1102,2.74,2.7600000000000002,82,1145,1578,715,3450,61,9,159,82,178,484,718,689,108,0,247100,1562,856,902
2017,Sweet Home,280036800,280036800,275022600,275022600,260133700,213633200,266730600,249511500,253949200,59874900,18351600,18316700,8018200,1363800,359535,304900,229147,302686.9841269845,35715.6862745098,160719,248682,119937.0821104708,131342,101492.08784516247,99033.4315313171,103078.003504363,103078.003504363,103357,103931,94036,78362,82520,83692,83692,82834,97626,64169,86656,52978,52978,67641.02908277401,51286,63438,62106,48156,93435,74777,41860.02277313347,9977,None,0,0,1,3908,3686,222,0.6,5.5,2796,74,35,40,216,119,51,46,33,510,863,1169,669,356,167,95,4.9,46,482,1264,1827,268,21,2246,1440,2.4899999999999998,2.52,270,1205,1429,782,3442,220,24,199,547,736,501,163,90,0,10,126400,1270,976,835
2017,Tualatin,3271255900,3271255900,3228158300,3228158300,2953926800,2598559100,2979153500,2844594600,2857158700,603023300,141378700,155247400,66545800,13011200,6456844,6170300,3894946,1370668.016322224,1461135.322383455,2394199,3548149,1909012.4131764243,1949894,1687363.0264193309,1710024.2075905097,1694913.1495228286,1694913.1495228286,1602710,1541889,1656136,1371702,1340566,1359119,1359119,1361799,1166700,1112699,994276,957406,957406,1083926.0541147722,887888,975104,854116,829898,905868,619523,85484.68227891458,27837,Large/Metro,1,0,1,11329,10843,486,1.4,3.7,5907,707,119,477,990,835,2196,360,689,1533,1822,1427,1464,1168,969,1897,5.4,371,1499,2858,3969,2127,505,5948,4895,2.66,2.29,637,3394,4819,1993,10606,152,85,89,101,280,201,1244,3010,1023,0,365700,4999,949,1154
2017,West Linn,3113110700,3113110700,3067236300,3067236300,2822648900,2579071700,2868627800,2717925400,2772905400,456680400,115522000,114652600,47549000,9076400,5440658,4888000,3133972,1440707.498211129,631005.7636350677,1862504,2647783,1525794.7334504754,1534559,1339614.5284196234,1328998.283638314,1329333.1961621777,1329333.1961621777,1266623,1254064,1240749,1046533,1056390,1050969,1050969,1054844,960425,854538,813661,586809,586809,750711.4742358776,663036,721461,716249,565262,745587,586970,89130.71379632513,26736,Large/Metro,1,0,1,10115,9898,217,0.3,0.9,7830,685,227,460,381,196,269,72,190,464,1071,1265,1394,1240,1467,2952,7,87,468,1976,3563,3022,999,7854,2044,2.73,2.32,215,2541,4658,2484,9807,78,13,135,52,181,290,881,3399,2781,135,433300,5847,2007,1392
2018,Ashland,1238588400,1238588400,1209527300,1209527300,1142058100,833610800,1161170500,1092067300,1109926000,345126600,49973000,56218100,13842700,6588500,3200277,3823500,1801978,443050.962406341,154495.3841946951,967431,1911758,889563.6784206317,784970,694926.8710592823,699405.5578876265,697755.0695186831,697755.0695186831,625934,675312,630959,502708,503789,493426,493426,497690,552150,386648,335999,240452,240452,440411.86612520827,294667,292038,315741,319349,179885,177678,52162.17425629291,21281,Medium,1,0,1,10705,9816,889,2.1,2.5,6754,936,372,825,527,369,598,474,677,1057,1979,1981,1525,1342,900,770,5.1,539,1512,3049,4008,1371,226,5274,4542,2.08,2.04,777,4104,3458,1477,9739,15,62,161,58,27,166,757,2371,1542,192,428100,2954,2320,1003
2018,Baker City,288315400,288315400,279493600,279493600,270733300,204763100,273325300,263495200,268570000,69741600,9194700,9987200,3665400,1050600,866171,555500,555177,336151.48712989164,42664.7058823529,356393,530646,283786.3605532671,277077,240371.5949387962,238384.35046469,235453.0652102028,235453.0652102028,217473,221185,212704,179786,181051,177451,177451,179760,177950,148817,151443,119065,119065,145456.95320218132,112241,188572,128533,108562,106701,156270,44720.08381683478,9809,None,0,0,1,4699,4116,583,2.7,6.9,3402,70,150,173,158,161,186,140,191,522,829,788,909,626,215,479,5.3,152,684,1499,1744,513,107,2732,1384,2.34,2.02,416,1240,1561,899,4012,57,47,247,674,629,361,466,297,58,0,128700,1584,1148,657
2018,Cottage Grove,382790300,382790300,378119700,378119700,344562800,273474300,359710700,331593000,343855100,92631900,13072700,19382800,14455000,1714800,802225,837700,512594,141476.33536490082,167794.5642795513,334922,539392,259180.0383691458,278436,222040.15800813248,222158.4037238919,224578.07387970225,224578.07387970225,223040,207364,222106,182172,182316,180957,180957,181395,192651,146440,140490,112344,112344,148079.1409470961,110273,74444,115146,114974,145015,150561,45103.961877010865,10465,Medium,1,0,1,4226,3968,258,0.2,2.1,2886,321,166,235,141,117,138,49,121,270,1071,1057,745,403,228,282,5.1,59,368,1423,1918,334,124,2526,1442,2.55,2.46,482,1240,1423,823,3793,158,17,183,9,504,946,601,223,29,31,180200,1728,798,867
2018,Eagle Point,366659600,366659600,363608600,363608600,357084000,276958300,357775100,335280700,339506600,75812700,25547500,20475900,6320100,1557300,338814,256300,196464,106006.22406639,0,118565,215220,91194.698715838,94937,83197.5768872321,81636.401266131,82469.6303016557,82469.6303016557,80405,77247,81495,60293,62934,63388,63388,63213,55117,51008,52291,39091,39091,55257.0699708455,40648,50811,47250,32833,44694,41054,63388,9554,None,0,0,1,3943,3777,166,3.4,6,2916,382,54,158,27,0,133,0,110,88,890,1173,746,401,223,312,5.3,0,197,589,2612,524,21,2600,1177,2.4699999999999998,2.2,193,1105,1252,1227,3777,0,0,274,46,238,436,768,710,128,0,237900,1608,992,1254
2018,Forest Grove,1032303400,1032303400,992124800,992124800,845548600,765904700,870936600,732612500,753598800,180516900,193652400,206633100,38743100,4610600,1986920,1929300,1205715,542576.7289855529,435298.2502750377,750621,1157234,579710.6266605885,631143,550072.3431800811,544090.2235603101,542156.131423253,542156.131423253,526835,494776,565922,427588,450139,456616,456616,446766,342768,353106,286932,290389,290389,337619.198839462,290284,323662,244065,294960,347907,241068,65380.78589912726,25553,Large/Metro,1,0,1,8810,8320,490,0,8.1,5320,391,414,549,409,244,973,293,277,617,1620,1558,1420,1367,658,1000,5.5,293,723,2162,3674,1446,512,4974,3346,2.9,2.51,803,2414,2995,2108,8068,203,49,396,153,136,297,1785,1800,390,17,280500,3590,1384,952
2018,Klamath Falls,968620600,968620600,944909900,944909900,866053000,670134300,882676400,809998200,824110800,255550500,71944200,78408300,24086700,6129800,2209219,1630900,1383735,542846.5058377527,321879.4425797102,879590,1480731,704644.985785788,720168,603513.6444448287,609942.0994392276,599017.7998860191,599017.7998860191,583878,551905,620001,483390,487581,486732,486732,480588,457688,372092,372860,259279,259279,409269.4315482367,289099,447626,318841,305843,377380,368117,46273.549168112186,21753,Medium,1,0,1,10050,9015,1035,3.6,7.9,6411,689,470,619,304,334,795,327,470,1309,2161,1900,1817,980,443,643,4.9,359,1602,3246,3617,975,251,3840,5175,2.42,2.16,1051,3365,3066,1533,8792,196,27,266,653,876,916,770,281,35,43,155600,2487,1353,745
2018,Newberg,1190278700,1190278700,1141817100,1141817100,1073402300,908584600,1111117700,1006013700,1037455700,205408500,90078900,99656100,34008800,4469300,1995066,2022900,1251801,357210.3510684195,346595.8294613548,821895,1136984,580298.4082913168,648496,554227.2678141389,557806.4296265761,548648.4068067956,548648.4068067956,516568,481626,495581,432774,431374,427266,427266,431267,346969,348018,287864,265364,265364,400182.83469820744,284028,334397,253857,251305,299212,164170,67086.48246743216,23886,Medium,1,0,1,8711,8228,483,1.7,2.9,5619,430,374,231,519,274,581,281,235,334,1623,1783,1692,1034,827,902,5.6,281,446,2249,3981,1420,334,5251,2977,2.64,2.56,406,2756,3486,1580,7908,274,46,355,200,203,520,1665,2031,268,9,283500,3972,1279,1114
2018,Newport,365656000,365656000,360658500,360658500,329141300,247175400,325720600,316070500,313426400,107088300,24042700,25765800,15462500,2082900,1268322,1157700,751758,336799.13621547434,177111.79558745347,446179,780120,361624.4239498462,369847,317795.15367055195,316168.6521201553,312157.8704721315,312157.8704721315,299188,288305,284985,239467,238722,238629,238629,236308,238209,182449,165227,183411,183411,227573.7246583032,140629,153991,150759,160793,131078,77748,49278.789093398234,10853,Medium,1,0,1,5694,4560,1134,1.1,2.7,3116,391,313,355,418,223,324,259,332,540,1185,1331,915,444,451,237,4.9,285,621,2127,1979,612,70,2481,2079,2.13,2.3,362,2005,1527,666,4507,13,40,162,149,229,426,656,611,202,46,239600,1295,1186,856
2018,North Bend,1091412400,1091412400,1037842800,1037842800,967558300,773309300,1008539200,946975400,983920400,243660200,29396000,36806400,29391000,5099800,2695851,1662100,1427695,330283.12955783773,359213.1177273044,792573,1393591,704736.1900146579,637943,584043.2455208987,588596.0421679451,573028.2874736859,573028.2874736859,522416,548259,514242,439351,440977,431293,431293,434437,443395,348002,319654,307825,307825,338953.42279156623,265219,344210,279440,261677,338121,253428,46370.93769438896,9768,None,0,0,1,4217,3837,380,0,1.5,3003,163,110,131,202,77,487,99,149,530,601,899,762,474,374,329,5.3,109,343,1342,1719,528,176,2171,1666,2.64,2.2600000000000002,362,1195,1426,854,3759,78,0,80,72,416,690,448,419,46,0,184700,1426,745,798
2018,Ontario,276125500,276125500,272438000,272438000,252801600,193620900,255444200,187353600,192753700,69578200,79903100,78274800,8900100,1548500,648605,371700,380703,153566.1431802748,208412.4841636709,234649,373244,177039.0896583352,192068,159085.2651914872,158646.6324801526,156971.2956189714,156971.2956189714,149802,133113,166619,114373,117728,114071,114071,115785,126658,89519,101076,74332,74332,104513.17449884812,67391,114493,73336,63569,96714,91267,38099.78475657848,10994,Medium,1,0,1,4789,4207,582,4.8,4.7,2590,129,474,257,154,174,481,245,204,464,1159,1105,640,456,252,264,4.8,245,484,1522,2056,283,199,2069,2138,2.52,2.57,624,1619,1294,670,3960,192,55,329,503,583,327,242,68,17,0,114800,1055,1014,666
2018,Prineville,561289100,561289100,558506600,558506600,536832800,428139900,539908700,516829800,521591700,111068200,25989800,25455300,7675700,2221400,903640,875100,556294,146639.8913800494,124793.64635904827,344421,644566,272926.30528198264,284956,242885.4471810172,243851.79979639064,239037.8205318043,239037.8205318043,228736,237006,223426,183397,183233,181935,181935,182472,193078,143379,133236,125629,125629,147607.1994127275,119437,167330,113284,109771,163609,134527,44810.66669651251,10734,Medium,1,0,1,4415,4145,270,0,1.6,2970,71,245,258,263,29,293,183,224,334,929,1123,604,552,278,188,5,196,470,1194,2025,498,32,2199,1946,2.19,2.4699999999999998,350,1478,1502,815,3904,159,82,219,353,327,580,540,180,0,0,164300,1287,912,822
2018,Roseburg,1018023600,1018023600,999645600,999645600,942584100,718361600,965079000,914435800,940040800,269249300,24231300,30158700,14979600,5263700,1633756,1300900,938753,226309.2368502839,169634.17847023188,578020,930139,483631.70715862885,462011,389768.1613931664,393193.29829773336,391169.8613169228,391169.8613169228,370493,382780,368999,302826,302091,301194,301194,298480,308292,224743,229582,215350,215350,250212.81024821737,177782,309458,182817,143265,161846,189364,49875.97189551614,23479,Medium,1,0,1,10997,10322,675,3.4,3.2,6692,509,370,626,310,481,1097,489,452,1048,2328,1958,2151,1098,759,714,5.1,521,1271,3569,4382,1015,239,5549,4773,2.2800000000000002,1.96,1323,4092,3263,1644,10131,166,25,635,431,964,949,1711,726,133,0,188300,3275,2274,810
2018,Sandy,744370400,744370400,731102500,731102500,705774300,590610800,707396000,681139600,683028800,124533900,27877200,29527700,13870500,2206900,1312071,1606300,881540,220508.3180181819,142791.8181818182,615760,917421,461189.7368791643,500041,409868.5959605117,411582.1128750943,406430.6941572467,406430.6941572467,425963,409951,397127,360483,358430,351959,351959,353607,299784,283740,248959,202933,202933,240830.8513927716,213406,278123,208822,158653,275889,198376,69935.63564249522,11387,Medium,1,0,1,4094,3969,125,1.8,0,2866,347,59,81,119,237,152,55,58,223,835,999,810,585,152,377,5.4,71,158,703,2434,630,98,2752,1217,2.73,2.72,216,1246,1401,1106,3822,119,28,265,11,42,390,1352,585,104,3,259700,1935,817,1191
2018,Silverton,558452000,558452000,542563600,542563600,524565500,455084800,532795000,514082800,519864400,82756400,17954000,22667600,11217800,1621300,1056261,890300,617570,181522.5133689839,289355.434782609,381133,677425,307788.5179419304,306900,263337.3281746749,265886.6420459002,263142.2439741486,263142.2439741486,257755,238289,229718,201165,201459,202028,202028,207238,194741,166628,145013,91900,91900,141213.5231255374,125926,151318,119327,103561,132239,116936,67951.14235190097,10618,Medium,1,0,1,3965,3758,207,1.1,0,2908,234,80,373,75,112,26,26,84,220,527,880,888,389,548,403,5.8,26,269,1170,1612,772,116,2501,1257,2.75,2.44,122,1263,1676,697,3639,112,7,113,74,186,393,780,846,109,0,269200,1671,830,924
2018,Sweet Home,313711700,313711700,309261100,309261100,299176500,238109500,302322800,281160000,281946500,66443700,20428200,24269400,7619600,1415000,521577,332600,291631,287721.126760563,0,174744,290916,136846.26428400847,136764,117334.64088804853,112753.5785195349,119069.65726525708,119069.65726525708,106907,103202,101297,87604,89561,90142,90142,89248,117391,68776,91079,57148,57148,77597.807998115,55224,116622,63257,52883,106569,47083,45072.74786845311,9977,None,0,0,1,3836,3603,233,0.6,9.7,2684,62,72,21,161,107,60,35,37,347,801,1112,744,470,133,157,5.1,61,308,1217,1887,359,4,2203,1400,2.66,2.4899999999999998,322,998,1404,879,3416,177,10,218,376,679,484,297,131,0,18,138600,1371,832,863
2018,Tualatin,3476482700,3476482700,3432264700,3432264700,3140194300,2773698900,3160599300,3005419700,3009603400,622152300,171250500,195226700,73383700,13382500,6388416,6647800,4032417,1344611.819686454,1512991.0730657636,2537674,3684764,2004755.4080606,2086345,1790355.7137860924,1810110.9134671064,1796907.8184473312,1796907.8184473312,1767877,1672283,1748308,1507965,1471623,1492363,1492363,1486949,1263362,1208548,1083122,902687,902687,1177079.173074095,953222,1025409,927645,888035,926635,740784,93786.952000915,27837,Large/Metro,1,0,1,11338,10833,505,1.6,4.2,5855,818,115,569,1084,888,1891,370,718,1185,1994,1483,1507,1193,1063,1825,5.4,391,1432,2791,4044,2216,464,5974,4859,2.63,2.3699999999999997,589,3286,4937,2021,10500,181,152,62,101,160,242,941,3030,1438,0,397300,4960,1014,1223
