YEAR,city,agg_income_15plus,agg_income_15plus_race_tot,agg_household_income,agg_household_income_race_tot,agg_household_income_white,agg_family_income,agg_income_15plus_white,agg_household_income_white_nh,agg_income_15plus_white_nh,agg_nonfamily_income,agg_household_income_hisp,agg_income_15plus_hisp,agg_income_15plus_two_races,agg_gross_rent,mean_hh_income_top5pct,median_owner_home_value,mean_hh_income_q5,avg_household_income_hisp,avg_household_income_two,inc_q4_limit,inc_top5pct_lower_limit,avg_family_income,mean_hh_income_q4_alt,avg_household_income_white,avg_household_income_white_nh,avg_household_income,avg_household_income_race_tot,inc_q3_limit,median_family_income,median_hh_inc_owner,median_hh_income_white_nh,median_hh_income_white,median_hh_income,median_hh_inc_all_units,mean_hh_income_q3,median_inc_15plus_male_ftyr,inc_q2_limit,median_earnings_male,median_hh_inc_renter,median_hh_inc_past12_renters,avg_nonfamily_income,mean_hh_income_q2,median_earnings_bachelor,median_inc_15plus_male,median_nonfamily_income,median_earnings_male_somecoll,median_earnings_male_hs,median_household_income,Population_2019,HB2001_Category,treat,post,pre
2017,Prineville,526399000,526399000,528648000,528648000,508545600,405177300,504168600,487443600,488173000,108019300,28558700,23815100,7684000,2313900,807847,752500,522229,167031.4570361146,85308.2872549195,334696,580942,263363.9638650897,275075,230079.3459653394,229051.0644879884,225325.57835072,225325.57835072,218233,228566,211028,168251,173592,170657,170657,171132,181934,133655,128019,122592,122592,135481.55473607482,110624,105605,110662,101957,163126,110173,42560.62890822858,10734,Medium,1,0,1
2017,Roseburg,961811600,961811600,952638600,952638600,912047900,692601300,920197800,885072100,898595600,248275200,30715200,25321500,13700200,5062500,1584432,1218200,921555,298731.8262755762,184646.7374727668,558998,917237,468989.0542230455,446587,384415.9593084969,385678.1390081888,379224.79991330265,379224.79991330265,355557,373273,378692,295825,295070,288801,288801,284237,308046,213600,220472,187575,187575,239207.7757397766,167847,286027,177166,163891,179832,153595,47867.891738783874,23479,Medium,1,0,1
2017,Sandy,727046400,727046400,717002100,717002100,686928700,577388800,693716900,653947200,665084500,128509600,35109900,32277400,15622800,2122900,1396423,1438100,891686,219981.3706942589,157466.550925926,593892,935445,455910.7766287185,488403,400326.0956360697,402998.03715994855,402004.00993096107,402004.00993096107,414941,404014,388250,355052,346231,337207,337207,340984,288168,272872,253479,171135,171135,252485.0727335388,205402,267631,204206,154571,282326,212468,66961.80951783023,11387,Medium,1,0,1
2017,Silverton,523189400,523189400,508694400,508694400,494783500,439817100,502972100,484451400,488119700,63976800,12918500,20835500,9596300,1404800,1002876,828900,590571,163018.0539537682,302643.995859213,360257,628143,298761.98962112266,297816,256029.89823452945,258546.4864246825,256694.6954720792,256694.6954720792,252577,235725,235602,206135,206297,205677,205677,209224,164864,169711,148966,77817,77817,124404.3749164546,127708,134630,122448,97777,142174,128875,68972.0099045346,10618,Medium,1,0,1
2017,Sweet Home,280036800,280036800,275022600,275022600,260133700,213633200,266730600,249511500,253949200,59874900,18351600,18316700,8018200,1363800,359535,304900,229147,302686.9841269845,35715.6862745098,160719,248682,119937.0821104708,131342,101492.08784516247,99033.4315313171,103078.003504363,103078.003504363,103357,103931,94036,78362,82520,83692,83692,82834,97626,64169,86656,52978,52978,67641.02908277401,51286,63438,62106,48156,93435,74777,41860.02277313347,9977,None,0,0,1
2017,Tualatin,3271255900,3271255900,3228158300,3228158300,2953926800,2598559100,2979153500,2844594600,2857158700,603023300,141378700,155247400,66545800,13011200,6456844,6170300,3894946,1370668.016322224,1461135.322383455,2394199,3548149,1909012.4131764243,1949894,1687363.0264193309,1710024.2075905097,1694913.1495228286,1694913.1495228286,1602710,1541889,1656136,1371702,1340566,1359119,1359119,1361799,1166700,1112699,994276,957406,957406,1083926.0541147722,887888,975104,854116,829898,905868,619523,85484.68227891458,27837,Large/Metro,1,0,1
2017,West Linn,3113110700,3113110700,3067236300,3067236300,2822648900,2579071700,2868627800,2717925400,2772905400,456680400,115522000,114652600,47549000,9076400,5440658,4888000,3133972,1440707.498211129,631005.7636350677,1862504,2647783,1525794.7334504754,1534559,1339614.5284196234,1328998.283638314,1329333.1961621777,1329333.1961621777,1266623,1254064,1240749,1046533,1056390,1050969,1050969,1054844,960425,854538,813661,586809,586809,750711.4742358776,663036,721461,716249,565262,745587,586970,89130.71379632513,26736,Large/Metro,1,0,1
2018,Ashland,1238588400,1238588400,1209527300,1209527300,1142058100,833610800,1161170500,1092067300,1109926000,345126600,49973000,56218100,13842700,6588500,3200277,3823500,1801978,443050.962406341,154495.3841946951,967431,1911758,889563.6784206317,784970,694926.8710592823,699405.5578876265,697755.0695186831,697755.0695186831,625934,675312,630959,502708,503789,493426,493426,497690,552150,386648,335999,240452,240452,440411.86612520827,294667,292038,315741,319349,179885,177678,52162.17425629291,21281,Medium,1,0,1
2018,Baker City,288315400,288315400,279493600,279493600,270733300,204763100,273325300,263495200,268570000,69741600,9194700,9987200,3665400,1050600,866171,555500,555177,336151.48712989164,42664.7058823529,356393,530646,283786.3605532671,277077,240371.5949387962,238384.35046469,235453.0652102028,235453.0652102028,217473,221185,212704,179786,181051,177451,177451,179760,177950,148817,151443,119065,119065,145456.95320218132,112241,188572,128533,108562,106701,156270,44720.08381683478,9809,None,0,0,1
2018,Cottage Grove,382790300,382790300,378119700,378119700,344562800,273474300,359710700,331593000,343855100,92631900,13072700,19382800,14455000,1714800,802225,837700,512594,141476.33536490082,167794.5642795513,334922,539392,259180.0383691458,278436,222040.15800813248,222158.4037238919,224578.07387970225,224578.07387970225,223040,207364,222106,182172,182316,180957,180957,181395,192651,146440,140490,112344,112344,148079.1409470961,110273,74444,115146,114974,145015,150561,45103.961877010865,10465,Medium,1,0,1
